brand,outbound_tweets,inbound_msgs,conversations
AmazonHelp,6046,144,144
AppleSupport,3773,34,34
VirginTrains,927,28,28
Uber_Support,1968,26,26
AmericanAir,1310,20,20
GWRHelp,680,19,19
TMobileHelp,1253,19,19
VerizonSupport,639,19,19
Ask_Spectrum,947,19,19
British_Airways,993,18,15
O2,595,16,16
AskPlayStation,617,16,15
SouthwestAir,1057,15,12
SW_Help,461,15,14
ArgosHelpers,470,15,15
XboxSupport,835,14,14
SpotifyCares,1561,13,13
Delta,1557,12,11
hulu_support,731,11,11
comcastcares,1157,11,11
AskAmex,424,10,10
idea_cares,564,9,9
sprintcare,795,9,9
sainsburys,673,9,9
ATVIAssist,639,9,9
UPSHelp,669,8,8
AirAsiaSupport,470,8,8
CoxHelp,298,8,8
AirbnbHelp,301,7,7
AskeBay,349,7,7
Safaricom_Care,596,7,7
MicrosoftHelps,409,7,7
Tesco,1335,7,7
GloCare,221,6,6
AskPayPal,417,6,6
AlaskaAir,269,6,6
JetBlue,303,6,6
AzureSupport,299,5,5
marksandspencer,425,5,5
airtel_care,374,5,5
AskTarget,483,5,5
AskLyft,462,4,4
AdobeCare,304,4,4
ChipotleTweets,661,4,4
BofA_Help,450,4,4
LondonMidland,246,4,4
GreggsOfficial,205,3,3
VirginAtlantic,164,3,3
TacoBellTeam,143,3,3
ATT,90,2,2
AldiUK,292,2,2
DellCares,203,2,2
nationalrailenq,153,2,2
CenturyLinkHelp,143,2,2
DropboxSupport,196,2,2
GoDaddyHelp,77,2,2
HPSupport,257,2,2
YahooCare,34,2,2
Morrisons,396,2,2
NortonSupport,68,2,2
ArbysCares,70,1,1
KeyBank_Help,17,1,1
IHGService,96,1,1
Kimpton,38,1,1
VMUcare,59,1,1
Walmart,97,1,1
asksalesforce,22,1,1
ask_progressive,21,1,1
sizehelpteam,49,1,1
AskVirginMoney,31,1,1
Ask_WellsFargo,297,1,1
AskTigogh,27,1,1
ChaseSupport,285,1,1
AsurionCares,66,1,1
AskRobinhood,10,1,1
AskRBC,28,1,1
NeweggService,38,1,1
OPPOCareIN,26,1,1
PandoraSupport,40,1,1
NikeSupport,118,1,1
SCsupport,42,1,1
DunkinDonuts,39,0,0
AskCiti,123,0,0
AskSeagate,19,0,0
AWSSupport,41,0,0
DoorDash_Help,71,0,0
BoostCare,33,0,0
CarlsJr,7,0,0
AskPapaJohns,124,0,0
AskDSC,12,0,0
GooglePlayMusic,26,0,0
HiltonHelp,32,0,0
Postmates_Help,87,0,0
PearsonSupport,27,0,0
OfficeSupport,4,0,0
McDonalds,310,0,0
MTNC_Care,22,0,0
JackBox,6,0,0
KFC_UKI_Help,76,0,0
MOO,21,0,0
HotelTonightCX,4,0,0
USCellularCares,27,0,0
TfL,69,0,0
TwitterSupport,24,0,0
VirginAmerica,83,0,0
askpanera,72,0,0
askvisa,31,0,0
mediatemplehelp,6,0,0
